dataset,input_files,merged_rows,pareto_rows,reference_rows,hv,spread,igd,mdh,output_file
pom3a,9,75,7,4,0.33726609263401996,0.7743690813174856,0.4015255002996635,1.0955254169926485,pass_2_outputs\pom3a\combined_frontier.csv
pom3b,9,74,7,6,0.9114079763379773,0.6198167346284963,0.33643628944160175,0.7597403844516316,pass_2_outputs\pom3b\combined_frontier.csv
pom3c,9,106,30,35,1.1087422345868603,0.587569002743345,0.05842743281056432,0.6824746373202825,pass_2_outputs\pom3c\combined_frontier.csv
Scrum100k,9,102,31,37,0.7174145658263309,0.7219593750309262,0.0039419838650260695,0.9965950127663568,pass_2_outputs\Scrum100k\combined_frontier.csv
Scrum10k,9,68,22,22,0.6626000000000002,0.7856687608194071,0.0,1.0167091438991407,pass_2_outputs\Scrum10k\combined_frontier.csv
SS-I,9,16,1,1,0.010000000000000018,,1.4142135623730951,1.4142135623730951,pass_2_outputs\SS-I\combined_frontier.csv
SS-J,9,69,28,34,0.833566244858475,0.5805695591636857,0.013333555314054302,0.7698697006531124,pass_2_outputs\SS-J\combined_frontier.csv
SS-K,9,47,16,22,0.8385078873255233,0.45590194738137824,0.009311889657110028,0.7488210710170995,pass_2_outputs\SS-K\combined_frontier.csv
SS-L,9,21,7,7,0.9904750261962979,0.7314456059437726,0.0,0.6537075933270684,pass_2_outputs\SS-L\combined_frontier.csv
SS-N,9,35,5,1,1.0166777204643096,0.7011734157510316,0.1634687624378863,0.5657860772503469,pass_2_outputs\SS-N\combined_frontier.csv
SS-P,9,17,7,7,0.9904750261962979,0.7314456059437726,0.0,0.6537075933270684,pass_2_outputs\SS-P\combined_frontier.csv
SS-Q,9,91,45,57,1.2086508685293251,0.657571218784559,0.010726655545316788,0.6573771693934399,pass_2_outputs\SS-Q\combined_frontier.csv
SS-R,9,79,26,35,1.0676482600360901,0.6317110851966187,0.007450988501118215,0.7063166983980081,pass_2_outputs\SS-R\combined_frontier.csv
SS-S,9,53,20,44,1.2086804519065386,0.5284486158484406,0.06355979080501725,0.38701506201978625,pass_2_outputs\SS-S\combined_frontier.csv
SS-T,9,83,41,76,1.1838691700215267,0.3919846866758896,0.005514652109046094,0.3476517676496796,pass_2_outputs\SS-T\combined_frontier.csv
SS-U,9,44,20,22,0.9055486160494826,0.4312356035514773,0.0010434079965840057,0.7401117413817149,pass_2_outputs\SS-U\combined_frontier.csv
SS-W,9,18,4,9,0.7258495138291792,0.4136239048579933,0.19732305322045585,0.7557235205767483,pass_2_outputs\SS-W\combined_frontier.csv
WA_Fn-UseC_-HR-Employee-Attrition,9,48,9,13,0.6379559228650139,0.8300534683596047,0.08785150152450125,1.0230860167392004,pass_2_outputs\WA_Fn-UseC_-HR-Employee-Attrition\combined_frontier.csv
WA_Fn-UseC_-Telco-Customer-Churn,9,23,2,4,0.11832868454899066,1.0034198876436056,0.43210811640556157,1.1782841920444338,pass_2_outputs\WA_Fn-UseC_-Telco-Customer-Churn\combined_frontier.csv
Wine_quality,9,14,4,4,0.7070588235294121,0.7951199223344428,0.19362745098039225,0.800671899542071,pass_2_outputs\Wine_quality\combined_frontier.csv
xomo_flight,9,38,2,2,0.14410000000000017,1.7320508075688772,0.0,1.2071067811865475,pass_2_outputs\xomo_flight\combined_frontier.csv
xomo_ground,9,86,9,8,1.0201756681129865,0.8793359849315229,0.07584555070353016,0.8505461581336978,pass_2_outputs\xomo_ground\combined_frontier.csv
xomo_osp,9,74,9,8,0.7484282770049042,0.9086488601874287,0.0831515219833803,1.036951824850244,pass_2_outputs\xomo_osp\combined_frontier.csv
xomo_osp2,9,125,17,23,0.7703910499809659,0.8207669210272982,0.06077008755231485,1.002958610284345,pass_2_outputs\xomo_osp2\combined_frontier.csv
