algorithm,dataset,input_files,merged_rows,pareto_rows,reference_rows,hv,spread,igd,mdh,output_file
NSGA2,SS-W.csv,1,4,4,9,0.7258495138291792,0.4136239048579932,0.19732305322045585,0.7557235205767483,pass_3_outputs\SS-W\NSGA2.csv
MOEAD,SS-W.csv,1,1,1,9,0.08396452016255088,,0.8657532474832563,1.0333366445823076,pass_3_outputs\SS-W\MOEAD.csv
NSGA3,SS-W.csv,1,4,4,9,0.7258495138291792,0.4136239048579933,0.19732305322045585,0.7557235205767483,pass_3_outputs\SS-W\NSGA3.csv
UNSGA3,SS-W.csv,1,4,4,9,0.7258495138291792,0.4136239048579932,0.19732305322045585,0.7557235205767483,pass_3_outputs\SS-W\UNSGA3.csv
RNSGA3,SS-W.csv,1,1,1,9,0.6409106562149084,,0.400517438893834,0.42348609784725577,pass_3_outputs\SS-W\RNSGA3.csv
RVEA,SS-W.csv,1,7,7,9,1.028292588284237,0.5337519883736942,0.13761903754596708,0.5384952095434024,pass_3_outputs\SS-W\RVEA.csv
AGEMOEA,SS-W.csv,1,4,4,9,0.7258495138291792,0.4136239048579933,0.19732305322045585,0.7557235205767483,pass_3_outputs\SS-W\AGEMOEA.csv
AGEMOEA2,SS-W.csv,1,4,4,9,0.7258495138291792,0.4136239048579933,0.19732305322045585,0.7557235205767483,pass_3_outputs\SS-W\AGEMOEA2.csv
CTAEA,SS-W.csv,1,4,4,9,0.7258495138291792,0.4136239048579933,0.19732305322045585,0.7557235205767483,pass_3_outputs\SS-W\CTAEA.csv
NSGA2,WA_Fn-UseC_-HR-Employee-Attrition.csv,1,10,10,13,0.610063360881543,0.7994826244259404,0.10651310056297601,1.0627039594636876,pass_3_outputs\WA_Fn-UseC_-HR-Employee-Attrition\NSGA2.csv
MOEAD,WA_Fn-UseC_-HR-Employee-Attrition.csv,1,8,8,13,0.5230179063360885,0.7210395830455731,0.21766699645068308,1.0277325031281612,pass_3_outputs\WA_Fn-UseC_-HR-Employee-Attrition\MOEAD.csv
NSGA3,WA_Fn-UseC_-HR-Employee-Attrition.csv,1,7,7,13,0.6073085399449037,0.8761349464211063,0.10651310056297601,1.005566370967707,pass_3_outputs\WA_Fn-UseC_-HR-Employee-Attrition\NSGA3.csv
UNSGA3,WA_Fn-UseC_-HR-Employee-Attrition.csv,1,7,7,13,0.6073085399449037,0.8761349464211063,0.10651310056297601,1.005566370967707,pass_3_outputs\WA_Fn-UseC_-HR-Employee-Attrition\UNSGA3.csv
RNSGA3,WA_Fn-UseC_-HR-Employee-Attrition.csv,1,3,3,13,0.47228099173553745,0.6977062473258284,0.4217911562064212,0.8936218080740455,pass_3_outputs\WA_Fn-UseC_-HR-Employee-Attrition\RNSGA3.csv
RVEA,WA_Fn-UseC_-HR-Employee-Attrition.csv,1,27,27,13,0.9230588235294119,0.6024922082790111,0.08566696973435343,0.9064212438744188,pass_3_outputs\WA_Fn-UseC_-HR-Employee-Attrition\RVEA.csv
AGEMOEA,WA_Fn-UseC_-HR-Employee-Attrition.csv,1,10,10,13,0.5730110192837468,0.7764544282821338,0.1137298270620007,1.029092303214181,pass_3_outputs\WA_Fn-UseC_-HR-Employee-Attrition\AGEMOEA.csv
AGEMOEA2,WA_Fn-UseC_-HR-Employee-Attrition.csv,1,12,12,13,0.5430523415977964,0.7581404676741428,0.13239142610047547,1.0780067409232463,pass_3_outputs\WA_Fn-UseC_-HR-Employee-Attrition\AGEMOEA2.csv
CTAEA,WA_Fn-UseC_-HR-Employee-Attrition.csv,1,9,9,13,0.6379559228650139,0.8300534683596047,0.08785150152450125,1.0230860167392006,pass_3_outputs\WA_Fn-UseC_-HR-Employee-Attrition\CTAEA.csv
NSGA2,WA_Fn-UseC_-Telco-Customer-Churn.csv,1,2,2,4,0.11832868454899066,1.0034198876436056,0.43210811640556157,1.1782841920444338,pass_3_outputs\WA_Fn-UseC_-Telco-Customer-Churn\NSGA2.csv
MOEAD,WA_Fn-UseC_-Telco-Customer-Churn.csv,1,1,1,4,0.10990308199263434,,0.8315218301203671,1.0000004696548972,pass_3_outputs\WA_Fn-UseC_-Telco-Customer-Churn\MOEAD.csv
NSGA3,WA_Fn-UseC_-Telco-Customer-Churn.csv,1,2,2,4,0.11832868454899066,1.0034198876436056,0.43210811640556157,1.1782841920444338,pass_3_outputs\WA_Fn-UseC_-Telco-Customer-Churn\NSGA3.csv
UNSGA3,WA_Fn-UseC_-Telco-Customer-Churn.csv,1,2,2,4,0.11832868454899066,1.0034198876436056,0.43210811640556157,1.1782841920444338,pass_3_outputs\WA_Fn-UseC_-Telco-Customer-Churn\UNSGA3.csv
RNSGA3,WA_Fn-UseC_-Telco-Customer-Churn.csv,1,2,2,4,0.11832868454899066,1.0034198876436056,0.43210811640556157,1.1782841920444338,pass_3_outputs\WA_Fn-UseC_-Telco-Customer-Churn\RNSGA3.csv
