dataset,input_files,merged_rows,pareto_rows,reference_rows,hv,spread,igd,mdh,output_file
all_players.csv,10,41,11,4,0.722777777777778,0.5231473729240149,0.23450150216840907,0.7331326044477648,outputs\combined_frontiers\all_players.csv
BankChurners.csv,10,647,569,34,0.9601250075520535,0.34935598666254464,0.01407724789539507,0.9134573422056484,outputs\combined_frontiers\BankChurners.csv
Data_COVID19_Indonesia.csv,10,163,103,22,0.40058637369933237,0.7223267007311355,0.022142793022516503,1.0865934644103903,outputs\combined_frontiers\Data_COVID19_Indonesia.csv
Loan.csv,10,674,523,38,0.3870691247039123,0.5926287943788018,0.1429081930766919,1.2815144145163448,outputs\combined_frontiers\Loan.csv
pom3a.csv,10,125,29,11,1.07532837752523,0.49985397384926283,0.26608008630540575,0.6792180674640679,outputs\combined_frontiers\pom3a.csv
pom3b.csv,10,96,18,12,1.2576345163583216,0.5217228374534996,0.28169443748163325,0.4251796557063644,outputs\combined_frontiers\pom3b.csv
pom3c.csv,10,177,91,15,1.169920033585409,0.568557614718127,0.12843826559712784,0.6359712657113885,outputs\combined_frontiers\pom3c.csv
Scrum100k.csv,10,225,129,23,0.7427724867724871,0.665952871022435,0.03140096618357489,0.961612146062592,outputs\combined_frontiers\Scrum100k.csv
SS-N.csv,10,60,20,8,1.1824194907817187,0.5438871618733192,0.11448688143986667,0.4095335961818477,outputs\combined_frontiers\SS-N.csv
SS-W.csv,10,29,15,2,0.7154052780825854,0.44108861962123097,0.16807942227544068,0.6825232738312833,outputs\combined_frontiers\SS-W.csv
SS-X.csv,9,28,11,3,0.8773226396981993,0.5806631386535046,0.21574177861373647,0.8597184165424743,outputs\combined_frontiers\SS-X.csv
